period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-07T07,34965.0,33847.0,33834.0,-13.0
2020-01-07T08,34469.0,33428.0,33421.0,-7.0
2020-01-07T09,34917.0,33557.0,33550.0,-7.0
2020-01-07T10,35127.0,34068.0,34067.0,-1.0
2020-01-07T11,36723.0,35611.0,35610.0,-1.0
2020-01-07T12,39554.0,38704.0,38698.0,-6.0
2020-01-07T13,43929.0,43144.0,42835.0,-310.0
2020-01-07T14,45373.0,45067.0,44760.0,-308.0
2020-01-07T15,44590.0,44089.0,43866.0,-224.0
2020-01-07T16,42766.0,42336.0,42476.0,140.0
2020-01-07T17,41320.0,40884.0,41030.0,145.0
2020-01-07T18,39927.0,39616.0,39800.0,183.0
2020-01-07T19,38757.0,38585.0,38715.0,130.0
2020-01-07T20,37908.0,38097.0,38096.0,-1.0
2020-01-07T21,37314.0,37602.0,37598.0,-4.0
2020-01-07T22,36837.0,37285.0,37281.0,-4.0
2020-01-07T23,37188.0,37446.0,37442.0,-4.0
2020-01-08T00,38345.0,38518.0,38514.0,-4.0
2020-01-08T01,40923.0,41015.0,41012.0,-4.0
2020-01-08T02,41257.0,41518.0,41514.0,-4.0
2020-01-08T03,41905.0,41776.0,41773.0,-4.0
2020-01-08T04,41066.0,41185.0,41182.0,-4.0
2020-01-08T05,39922.0,39644.0,39647.0,3.0
2020-01-08T06,38380.0,38056.0,38055.0,2.0
2020-01-08T07,36828.0,37253.0,37095.0,-159.0
2020-01-08T08,36572.0,37080.0,36917.0,-164.0
2020-01-08T09,36547.0,37419.0,37279.0,-140.0
2020-01-08T10,37147.0,38115.0,37930.0,-185.0
2020-01-08T11,38521.0,39701.0,39493.0,-208.0
2020-01-08T12,41435.0,42900.0,42654.0,-247.0
2020-01-08T13,45532.0,47378.0,47043.0,-334.0
2020-01-08T14,47083.0,48976.0,48939.0,-38.0
2020-01-08T15,45704.0,47290.0,47177.0,-113.0
2020-01-08T16,43959.0,44857.0,44757.0,-101.0
2020-01-08T17,42227.0,42990.0,42956.0,-34.0
2020-01-08T18,40536.0,41405.0,41420.0,14.0
2020-01-08T19,39135.0,40052.0,39857.0,-195.0
2020-01-08T20,38320.0,39197.0,38996.0,-202.0
2020-01-08T21,37587.0,38534.0,38352.0,-183.0
2020-01-08T22,37405.0,38142.0,37984.0,-158.0
2020-01-08T23,37541.0,38555.0,38400.0,-156.0
2020-01-09T00,38779.0,40013.0,39871.0,-143.0
2020-01-09T01,40795.0,42043.0,42018.0,-25.0
2020-01-09T02,40805.0,41965.0,41737.0,-228.0
2020-01-09T03,40326.0,41391.0,41180.0,-211.0
2020-01-09T04,39159.0,39866.0,39656.0,-210.0
2020-01-09T05,36998.0,37461.0,37305.0,-156.0
2020-01-09T06,34766.0,34984.0,34837.0,-147.0
2020-01-09T07,33615.0,33377.0,33107.0,-270.0
2020-01-09T08,32562.0,32401.0,32026.0,-374.0
2020-01-09T09,32038.0,31902.0,31576.0,-326.0
2020-01-09T10,31811.0,31645.0,31266.0,-380.0
2020-01-09T11,32551.0,32255.0,31882.0,-374.0
2020-01-09T12,34391.0,34252.0,34179.0,-74.0
2020-01-09T13,37660.0,37602.0,37594.0,-8.0
2020-01-09T14,38915.0,38889.0,38885.0,-4.0
2020-01-09T15,38641.0,38688.0,38685.0,-4.0
2020-01-09T16,38866.0,38881.0,38899.0,17.0
2020-01-09T17,39163.0,39161.0,39178.0,16.0
2020-01-09T18,39330.0,39274.0,39244.0,-31.0
2020-01-09T19,39230.0,39264.0,39233.0,-32.0
2020-01-09T20,39279.0,39222.0,39190.0,-32.0
2020-01-09T21,39288.0,38963.0,38931.0,-32.0
2020-01-09T22,39240.0,38778.0,38754.0,-25.0
2020-01-09T23,39358.0,38832.0,38844.0,12.0
2020-01-10T00,40182.0,39436.0,39246.0,-190.0
2020-01-10T01,41445.0,40943.0,40502.0,-441.0
2020-01-10T02,41145.0,40788.0,40549.0,-240.0
2020-01-10T03,40425.0,40244.0,40238.0,-6.0
2020-01-10T04,38975.0,39069.0,39069.0,0.0
2020-01-10T05,36760.0,36937.0,36961.0,24.0
2020-01-10T06,34372.0,34499.0,34524.0,25.0
2020-01-10T07,33464.0,32721.0,32875.0,153.0
2020-01-10T08,32183.0,31799.0,31902.0,101.0
2020-01-10T09,31375.0,31184.0,31270.0,85.0
2020-01-10T10,31143.0,31085.0,31167.0,81.0
2020-01-10T11,31761.0,31542.0,31650.0,107.0
2020-01-10T12,33924.0,33247.0,33385.0,137.0
2020-01-10T13,37505.0,36511.0,36573.0,62.0
2020-01-10T14,39359.0,38128.0,38242.0,114.0
2020-01-10T15,39648.0,38351.0,38457.0,107.0
2020-01-10T16,40178.0,39095.0,39214.0,119.0
2020-01-10T17,40767.0,39798.0,39593.0,-206.0
2020-01-10T18,41029.0,40101.0,39875.0,-226.0
2020-01-10T19,41049.0,40101.0,39870.0,-232.0
2020-01-10T20,41129.0,40154.0,39928.0,-227.0
2020-01-10T21,40935.0,39956.0,39714.0,-242.0
2020-01-10T22,40658.0,39701.0,39415.0,-286.0
2020-01-10T23,40482.0,39993.0,39814.0,-181.0
2020-01-11T00,40939.0,40746.0,40566.0,-182.0
2020-01-11T01,41816.0,41240.0,41136.0,-105.0
2020-01-11T02,41063.0,40440.0,40364.0,-77.0
2020-01-11T03,39868.0,39386.0,39364.0,-23.0
2020-01-11T04,38311.0,38387.0,38365.0,-22.0
2020-01-11T05,36285.0,37045.0,37084.0,38.0
2020-01-11T06,33977.0,35335.0,35305.0,-32.0
2020-01-11T07,32728.0,33491.0,33541.0,48.0
2020-01-11T08,32056.0,32501.0,32552.0,50.0
2020-01-11T09,31760.0,32261.0,32313.0,51.0
2020-01-11T10,32063.0,32474.0,32526.0,52.0
2020-01-11T11,32874.0,33161.0,33216.0,54.0
2020-01-11T12,34384.0,34650.0,34613.0,-38.0
2020-01-11T13,36629.0,36829.0,36914.0,84.0
2020-01-11T14,38913.0,39366.0,39458.0,91.0
2020-01-11T15,40564.0,41737.0,41872.0,135.0
2020-01-11T16,41422.0,43534.0,43575.0,41.0
2020-01-11T17,41573.0,44407.0,44458.0,50.0
2020-01-11T18,41023.0,44118.0,44200.0,82.0
2020-01-11T19,40041.0,43016.0,43139.0,123.0
2020-01-11T20,38921.0,41307.0,41367.0,59.0
2020-01-11T21,37954.0,39744.0,39793.0,49.0
2020-01-11T22,37569.0,38761.0,38898.0,136.0
2020-01-11T23,38102.0,38680.0,38751.0,71.0
2020-01-12T00,39717.0,40098.0,40145.0,47.0
2020-01-12T01,42297.0,42555.0,42566.0,10.0
2020-01-12T02,43156.0,43085.0,43241.0,156.0
2020-01-12T03,43176.0,43366.0,43392.0,26.0
2020-01-12T04,42717.0,43275.0,43337.0,61.0
2020-01-12T05,41737.0,42636.0,42759.0,123.0
2020-01-12T06,40555.0,41651.0,41748.0,96.0
2020-01-12T07,39110.0,40837.0,40818.0,-20.0
2020-01-12T08,38617.0,40364.0,40550.0,185.0
2020-01-12T09,38684.0,40230.0,40328.0,97.0
2020-01-12T10,39092.0,40406.0,40480.0,74.0
2020-01-12T11,39963.0,40986.0,41060.0,73.0
2020-01-12T12,41530.0,42055.0,42129.0,73.0
2020-01-12T13,43549.0,43640.0,43715.0,74.0
2020-01-12T14,45030.0,45251.0,45326.0,74.0
2020-01-12T15,45087.0,45875.0,45951.0,76.0
2020-01-12T16,43772.0,45211.0,45359.0,147.0
2020-01-12T17,41809.0,43551.0,43698.0,147.0
2020-01-12T18,39853.0,41665.0,41669.0,4.0
2020-01-12T19,38043.0,39940.0,39935.0,-6.0
2020-01-12T20,36568.0,38555.0,38553.0,-3.0
2020-01-12T21,35443.0,37252.0,37249.0,-3.0
2020-01-12T22,34839.0,36740.0,36747.0,6.0
2020-01-12T23,35079.0,37099.0,37208.0,109.0
2020-01-13T00,36842.0,38894.0,38819.0,-76.0
2020-01-13T01,39805.0,41277.0,41154.0,-123.0
2020-01-13T02,40967.0,41565.0,41562.0,-4.0
2020-01-13T03,41020.0,41177.0,41174.0,-3.0
2020-01-13T04,40253.0,40252.0,40249.0,-3.0
2020-01-13T05,38434.0,38246.0,38244.0,-3.0
2020-01-13T06,36390.0,36325.0,36322.0,-3.0
2020-01-13T07,35490.0,35034.0,35010.0,-25.0
2020-01-13T08,34844.0,34420.0,34396.0,-25.0
2020-01-13T09,34454.0,34268.0,34244.0,-25.0
2020-01-13T10,34599.0,34595.0,34576.0,-20.0
2020-01-13T11,35760.0,35815.0,35796.0,-20.0
2020-01-13T12,38421.0,38390.0,38371.0,-20.0
2020-01-13T13,41994.0,42173.0,42156.0,-18.0
2020-01-13T14,43745.0,43511.0,43547.0,35.0
2020-01-13T15,42815.0,43055.0,43189.0,134.0
2020-01-13T16,41945.0,42785.0,42934.0,148.0
2020-01-13T17,41352.0,42544.0,42749.0,204.0
2020-01-13T18,40507.0,42087.0,42270.0,183.0
2020-01-13T19,39751.0,41483.0,41460.0,-23.0
2020-01-13T20,39076.0,40958.0,40753.0,-205.0
2020-01-13T21,38267.0,40402.0,40194.0,-209.0
2020-01-13T22,38218.0,39992.0,39784.0,-209.0
2020-01-13T23,37945.0,40270.0,40061.0,-209.0
2020-01-14T00,39604.0,41423.0,41218.0,-206.0
2020-01-14T01,41344.0,42565.0,42630.0,65.0
2020-01-14T02,41341.0,41923.0,41909.0,-14.0
